department,service_request_type,status,closure_reason,local_area,channel,open_dt,close_dt,open_year,open_month,open_month_name,open_day_of_week,closure_days,is_closed
Eng - Parking Enforcement And Operations,Abandoned Or Uninsured Vehicle Case,Close,Service Provided,Sunset,Phone,2022-11-18 13:37:29-08:00,2022-11-24,2022,11,Nov,Friday,5.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,Grandview-Woodland,Web,2022-11-18 13:49:00-08:00,2022-11-22,2022,11,Nov,Friday,3.0,True
Dbl - Property Use Inspections,Noise On Private Property Case,Close,Assigned To Inspector,Marpole,Phone,2022-11-18 13:49:14-08:00,2022-11-18,2022,11,Nov,Friday,-1.0,True
Eng - Traffic And Electrical Operations And Design,Street Light Pole Maintenance Case,Close,Service Provided,Marpole,Phone,2022-11-18 13:49:21-08:00,2022-11-21,2022,11,Nov,Friday,2.0,True
Pr - Urban Forestry,City And Park Trees Maintenance Case,Close,Further Action Has Been Planned,Victoria-Fraserview,Phone,2022-11-18 13:55:00-08:00,2022-12-05,2022,11,Nov,Friday,16.0,True
Eng - Sanitation Services,Garbage Bin Request Case,Close,Service Provided,Grandview-Woodland,Phone,2022-11-18 13:59:55-08:00,2022-11-22,2022,11,Nov,Friday,3.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,Marpole,Web,2022-11-18 14:10:00-08:00,2022-11-23,2022,11,Nov,Friday,4.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Killarney,Phone,2022-11-18 14:18:00-08:00,2022-11-21,2022,11,Nov,Friday,2.0,True
Pr - Park Operations,Park Facility Maintenance Request,Close,Referred To Another Service Group,,Web,2022-11-18 14:20:32-08:00,2022-11-21,2022,11,Nov,Friday,2.0,True
Eng - Traffic And Electrical Operations And Design,Street Light Pole Maintenance Case,Close,Service Provided,Downtown,Phone,2022-11-18 14:23:44-08:00,2022-11-22,2022,11,Nov,Friday,3.0,True
Dbl - Property Use Inspections,Private Property Concern Case,Close,Assigned To Inspector,Kitsilano,Web,2022-11-18 14:25:45-08:00,2022-11-18,2022,11,Nov,Friday,-1.0,True
Pds - Planning,Business Support Request Case,Close,Referred To Another Service Group,,Web,2022-11-18 14:34:00-08:00,2022-12-20,2022,11,Nov,Friday,31.0,True
Pr - Urban Forestry,City And Park Trees Maintenance Case,Close,Further Action Has Been Planned,Renfrew-Collingwood,Phone,2022-11-18 14:37:00-08:00,2022-12-02,2022,11,Nov,Friday,13.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Kitsilano,Web,2022-11-18 14:57:53-08:00,2022-11-21,2022,11,Nov,Friday,2.0,True
Pr - Urban Forestry,City And Park Trees Maintenance Case,Close,Further Action Has Been Planned,Kitsilano,Phone,2022-11-18 15:05:00-08:00,2022-11-23,2022,11,Nov,Friday,4.0,True
Eng - Sanitation Services,Missed Garbage Bin Pickup Case,Close,Service Provided,Victoria-Fraserview,Web,2022-11-18 15:10:00-08:00,2022-12-01,2022,11,Nov,Friday,12.0,True
Pr - Urban Forestry,Rats And Rodents Case,Close,Assigned To Inspector,Fairview,Phone,2022-11-18 15:10:00-08:00,2022-11-18,2022,11,Nov,Friday,-1.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,West End,Web,2022-11-18 15:18:00-08:00,2022-11-23,2022,11,Nov,Friday,4.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Insufficient Info,,Web,2022-11-18 15:23:00-08:00,2022-11-21,2022,11,Nov,Friday,2.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Reviewed And No Action Planned,,Web,2022-11-18 15:29:00-08:00,2025-10-23,2022,11,Nov,Friday,1069.0,True
Eng - Integrated Graffiti Management,Graffiti Removal - External Organization Case,Close,Closed Automatically And Sent To Service Group,,E-Mail,2022-11-18 15:30:00-08:00,2022-11-18,2022,11,Nov,Friday,-1.0,True
Eng - Parking Enforcement And Operations,Parking Enforcement Transfer Case,Close,Unknown,,Phone,2022-11-18 15:30:27-08:00,2022-11-18,2022,11,Nov,Friday,-1.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Killarney,Web,2022-11-18 15:35:33-08:00,2022-11-21,2022,11,Nov,Friday,2.0,True
Dbl - Property Use Inspections,Private Property Concern Case,Close,Referred To Another Service Group,West End,Web,2022-11-18 15:36:00-08:00,2022-11-21,2022,11,Nov,Friday,2.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Insufficient Info,Mount Pleasant,Web,2022-11-18 15:43:00-08:00,2022-11-21,2022,11,Nov,Friday,2.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Victoria-Fraserview,Web,2022-11-18 15:52:03-08:00,2022-11-21,2022,11,Nov,Friday,2.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,Riley Park,Web,2022-11-18 15:57:00-08:00,2022-11-23,2022,11,Nov,Friday,4.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Victoria-Fraserview,Web,2022-11-18 16:06:18-08:00,2022-11-21,2022,11,Nov,Friday,2.0,True
Eng - Sanitation Services,Missed Garbage Bin Pickup Case,Close,Service Provided,Kerrisdale,Web,2022-11-18 16:14:04-08:00,2022-12-02,2022,11,Nov,Friday,13.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Killarney,Web,2022-11-18 16:17:49-08:00,2022-11-21,2022,11,Nov,Friday,2.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Service Provided,,Web,2022-11-18 16:26:00-08:00,2022-11-21,2022,11,Nov,Friday,2.0,True
Dbl - Property Use Inspections,Private Property Inquiry Case,Close,Service Provided,Marpole,Web,2022-11-18 16:29:00-08:00,2022-11-21,2022,11,Nov,Friday,2.0,True
Eng - Sanitation Services,Abandoned Recyclables Case,Close,Issue Not Found Or Inaccessible,Hastings-Sunrise,Mobile App,2022-11-18 16:37:52-08:00,2022-11-30,2022,11,Nov,Friday,11.0,True
Eng - Traffic And Electrical Operations And Design,Street Light Out Case,Close,Service Provided,Renfrew-Collingwood,Phone,2022-11-18 16:39:49-08:00,2022-12-06,2022,11,Nov,Friday,17.0,True
Eng - Waterworks Operations,Water Meter Reading Request Case,Close,Service Provided,Hastings-Sunrise,Web,2022-11-18 16:40:27-08:00,2022-11-25,2022,11,Nov,Friday,6.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,Victoria-Fraserview,Web,2022-11-18 16:50:00-08:00,2022-11-21,2022,11,Nov,Friday,2.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Dunbar-Southlands,Phone,2022-11-18 16:56:00-08:00,2022-11-21,2022,11,Nov,Friday,2.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Insufficient Info,,Web,2022-11-18 17:02:00-08:00,2022-11-21,2022,11,Nov,Friday,2.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Insufficient Info,Kerrisdale,Web,2022-11-18 17:42:22-08:00,2022-11-19,2022,11,Nov,Friday,0.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Victoria-Fraserview,Phone,2022-11-18 17:45:00-08:00,2022-11-21,2022,11,Nov,Friday,2.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Kensington-Cedar Cottage,Phone,2022-11-18 17:52:00-08:00,2022-11-21,2022,11,Nov,Friday,2.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,West Point Grey,Phone,2022-11-18 18:00:00-08:00,2022-11-21,2022,11,Nov,Friday,2.0,True
Eng - Traffic And Data Management,Traffic Management Inquiry Case,Close,Service Provided,Killarney,Web,2022-11-18 18:08:46-08:00,2022-12-02,2022,11,Nov,Friday,13.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Service Provided,Dunbar-Southlands,Web,2022-11-18 18:26:00-08:00,2022-11-21,2022,11,Nov,Friday,2.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Dunbar-Southlands,Web,2022-11-18 18:31:57-08:00,2022-11-21,2022,11,Nov,Friday,2.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Victoria-Fraserview,Web,2022-11-18 18:43:08-08:00,2022-11-21,2022,11,Nov,Friday,2.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Killarney,Web,2022-11-18 19:06:36-08:00,2022-11-21,2022,11,Nov,Friday,2.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Dunbar-Southlands,Web,2022-11-18 19:08:54-08:00,2022-11-21,2022,11,Nov,Friday,2.0,True
Eng - Streets Operations,Street Repair Case,Close,Further Action Has Been Planned,Kensington-Cedar Cottage,Web,2022-11-18 19:33:35-08:00,2022-11-21,2022,11,Nov,Friday,2.0,True
Fsc - Vacancy Tax,Empty Homes Tax Request Case,Close,Service Provided,Renfrew-Collingwood,Phone,2022-11-18 19:36:37-08:00,2022-11-22,2022,11,Nov,Friday,3.0,True
Eng - Traffic And Data Management,Construction Related Concerns Case,Close,Alternate Service Required,Renfrew-Collingwood,Mobile App,2022-11-18 19:55:53-08:00,2022-12-02,2022,11,Nov,Friday,13.0,True
Eng - Parking Enforcement And Operations,Abandoned Or Uninsured Vehicle Case,Close,Service Provided,Fairview,Mobile App,2022-11-18 20:01:49-08:00,2022-11-23,2022,11,Nov,Friday,4.0,True
Eng - Traffic And Data Management,Traffic Management Inquiry Case,Close,Service Provided,Killarney,Web,2022-11-18 20:02:11-08:00,2022-12-02,2022,11,Nov,Friday,13.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Renfrew-Collingwood,Web,2022-11-18 20:25:51-08:00,2022-11-21,2022,11,Nov,Friday,2.0,True
Eng - Integrated Graffiti Management,Graffiti Removal - City Property Case,Close,Service Provided,Downtown,Mobile App,2022-10-10 00:06:00-07:00,2022-10-14,2022,10,Oct,Monday,3.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,Renfrew-Collingwood,Web,2022-10-10 03:26:00-07:00,2022-10-18,2022,10,Oct,Monday,7.0,True
Cmo - Business And Election Services,Mayor And Council Feedback Case,Close,Reviewed And No Action Planned,,Web,2022-10-10 03:39:08-07:00,2022-10-11,2022,10,Oct,Monday,0.0,True
Dbl - Property Use Inspections,Noise On Private Property Case,Close,Assigned To Inspector,West End,Web,2022-10-10 05:06:01-07:00,2022-10-12,2022,10,Oct,Monday,1.0,True
Dbl - Property Use Inspections,Noise On Private Property Case,Close,Assigned To Inspector,Arbutus Ridge,Web,2022-10-10 07:56:30-07:00,2022-10-12,2022,10,Oct,Monday,1.0,True
Eng - Sanitation Services,Missed Garbage Bin Pickup Case,Close,Reviewed And No Action Planned,Kensington-Cedar Cottage,Web,2022-10-10 08:18:15-07:00,2022-10-17,2022,10,Oct,Monday,6.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Riley Park,Web,2022-09-09 11:46:27-07:00,2022-09-12,2022,9,Sep,Friday,2.0,True
Eng - Sanitation Services,Missed Garbage Bin Pickup Case,Close,Service Provided,Grandview-Woodland,Web,2022-09-09 11:47:00-07:00,2022-09-16,2022,9,Sep,Friday,6.0,True
Eng - Waterworks Operations,Waterworks Request Case,Close,Service Provided,Renfrew-Collingwood,Phone,2022-09-09 11:58:21-07:00,2022-09-13,2022,9,Sep,Friday,3.0,True
Eng - Sewer Operations,Preventative Maintenance Program Case,Close,Service Provided,Riley Park,Phone,2022-09-09 12:02:25-07:00,2022-09-26,2022,9,Sep,Friday,16.0,True
311 Contact Centre,Employee Feedback Case,Close,Referred To Another Service Group,Killarney,Phone,2022-09-09 12:06:31-07:00,2022-09-09,2022,9,Sep,Friday,-1.0,True
Pr - Urban Forestry,City And Park Trees Maintenance Case,Close,Further Action Has Been Planned,Hastings-Sunrise,Phone,2022-09-09 12:11:00-07:00,2022-09-14,2022,9,Sep,Friday,4.0,True
Pr - Park Operations,Parks Operations And Maintenance Case,Close,Service Provided,Mount Pleasant,Mobile App,2022-10-10 09:03:00-07:00,2022-10-20,2022,10,Oct,Monday,9.0,True
Dbl - Building And Trades Inspections Clerks,Private Property Construction Noise Case,Close,Assigned To Inspector,Downtown,Phone,2022-10-10 09:08:58-07:00,2022-10-11,2022,10,Oct,Monday,0.0,True
Pr - Park Rangers,Urban Issues In Parks Case,Close,Service Provided,Downtown,Phone,2022-10-10 09:12:50-07:00,2022-10-11,2022,10,Oct,Monday,0.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,Renfrew-Collingwood,Web,2022-10-10 09:22:00-07:00,2022-10-24,2022,10,Oct,Monday,13.0,True
Eng - Parking Enforcement And Operations,Abandoned Or Uninsured Vehicle Case,Close,Service Provided,Dunbar-Southlands,Web,2022-10-10 09:31:41-07:00,2022-10-13,2022,10,Oct,Monday,2.0,True
Eng - Parking Enforcement And Operations,Abandoned Or Uninsured Vehicle Case,Close,Service Provided,Renfrew-Collingwood,Mobile App,2022-10-10 09:32:00-07:00,2022-10-12,2022,10,Oct,Monday,1.0,True
Dbl - Property Use Inspections,Private Property Concern Case,Close,Referred To Another Service Group,Kitsilano,Mobile App,2022-10-10 09:44:00-07:00,2022-10-12,2022,10,Oct,Monday,1.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Service Provided,,Web,2022-09-09 12:27:49-07:00,2022-09-09,2022,9,Sep,Friday,-1.0,True
Eng - Street Use Management,Street And Sidewalk Use Request Case,Close,Service Provided,Downtown,Phone,2022-09-09 12:35:00-07:00,2022-09-09,2022,9,Sep,Friday,-1.0,True
Eng - Sanitation Services,Missed Garbage Bin Pickup Case,Close,Service Provided,Hastings-Sunrise,Web,2022-09-09 12:42:16-07:00,2022-09-12,2022,9,Sep,Friday,2.0,True
Eng - Sanitation Services,Abandoned Mattress Case,Close,Issue Not Found Or Inaccessible,Downtown,Mobile App,2022-09-09 12:56:34-07:00,2022-10-04,2022,9,Sep,Friday,24.0,True
311 Contact Centre,City Services Feedback Case,Close,Service Provided,Renfrew-Collingwood,Phone,2022-10-10 09:58:15-07:00,2022-10-26,2022,10,Oct,Monday,15.0,True
Eng - Sanitation Services,Abandoned Recyclables Case,Close,Service Provided,Downtown,Mobile App,2022-10-10 10:02:00-07:00,2022-10-12,2022,10,Oct,Monday,1.0,True
Dbl - Animal Services,Animal Concern Case,Close,Dispatched To Crew,Downtown,Phone,2022-10-10 10:29:50-07:00,2022-10-11,2022,10,Oct,Monday,0.0,True
Eng - Sanitation Services,Street Cleaning And Debris Pick Up Case,Close,Service Provided,Dunbar-Southlands,Social Media,2022-09-09 12:58:13-07:00,2022-09-15,2022,9,Sep,Friday,5.0,True
Eng - Streets Operations,Street Repair Case,Close,Further Action Has Been Planned,Dunbar-Southlands,Phone,2022-09-09 13:14:54-07:00,2022-09-23,2022,9,Sep,Friday,13.0,True
Eng - Traffic And Data Management,Truck Violation Concern Case,Close,Service Provided,Kitsilano,Mobile App,2022-09-09 13:23:32-07:00,2022-09-12,2022,9,Sep,Friday,2.0,True
Eng - Streets Operations,Pothole Case,Close,Service Provided,Grandview-Woodland,Phone,2022-10-10 10:54:51-07:00,2022-10-14,2022,10,Oct,Monday,3.0,True
Eng - Sanitation Services,Missed Garbage Bin Pickup Case,Close,Service Provided,South Cambie,Web,2022-10-10 11:03:27-07:00,2022-10-21,2022,10,Oct,Monday,10.0,True
Pr - Corporate Services,Parks Feedback Case,Open,,,Web,2022-10-10 12:17:00-07:00,,2022,10,Oct,Monday,,False
Eng - Sanitation Services,Green Bin Request Case,Close,Service Provided,South Cambie,Phone,2022-10-10 12:28:04-07:00,2022-10-18,2022,10,Oct,Monday,7.0,True
Eng - Sanitation Services,Dead Animal Pick Up Case,Close,Service Provided,Oakridge,Web,2022-10-10 12:34:00-07:00,2022-10-12,2022,10,Oct,Monday,1.0,True
Dbl - Animal Services,Lost Pets Case,Close,Service Provided,Hastings-Sunrise,Web,2022-10-10 12:37:29-07:00,2022-10-11,2022,10,Oct,Monday,0.0,True
Eng - Waterworks Design,Water Conservation Violation Case,Close,Service Provided,Dunbar-Southlands,Phone,2022-10-10 12:43:08-07:00,2022-10-11,2022,10,Oct,Monday,0.0,True
Eng - Traffic And Electrical Operations And Design,Sign Repair Case,Close,Further Action Has Been Planned,West End,Web,2022-10-10 13:13:33-07:00,2022-10-19,2022,10,Oct,Monday,8.0,True
Eng - Parking Enforcement And Operations,Abandoned Or Uninsured Vehicle Case,Close,Service Provided,Dunbar-Southlands,Web,2022-10-10 13:18:47-07:00,2022-10-19,2022,10,Oct,Monday,8.0,True
Eng - Sanitation Services,Abandoned Non-Recyclables-Small Case,Close,Service Provided,Kitsilano,Phone,2022-10-10 13:30:31-07:00,2023-01-23,2022,10,Oct,Monday,104.0,True
Eng - Waterworks Operations,Water Leak Case,Close,Service Provided,Renfrew-Collingwood,Phone,2022-10-10 13:47:05-07:00,2022-10-11,2022,10,Oct,Monday,0.0,True
Dbl - Animal Services,Animal Concern Case,Close,Dispatched To Crew,Dunbar-Southlands,Phone,2022-10-10 14:07:19-07:00,2022-10-11,2022,10,Oct,Monday,0.0,True
Pr - Park Rangers,Park Ranger Request Case,Close,Service Provided,Downtown,Mobile App,2022-10-10 14:16:00-07:00,2022-10-10,2022,10,Oct,Monday,-1.0,True
Pr - Park Operations,Park Facility Maintenance Request,Close,Referred To Another Service Group,,Mobile App,2022-10-10 14:51:00-07:00,2022-10-11,2022,10,Oct,Monday,0.0,True
Eng - Sanitation Services,Abandoned Non-Recyclables-Small Case,Close,Service Provided,Downtown,Mobile App,2022-10-10 15:03:58-07:00,2022-10-12,2022,10,Oct,Monday,1.0,True
Dbl - Proactive Enforcement,Short-Term Rental Concern Case,Close,Service Provided,Downtown,Web,2022-10-10 15:06:31-07:00,2022-10-13,2022,10,Oct,Monday,2.0,True
Eng - Sanitation Services,Abandoned Mattress Case,Close,Issue Not Found Or Inaccessible,West End,Mobile App,2022-10-10 15:31:40-07:00,2022-11-08,2022,10,Oct,Monday,28.0,True
Eng - Utilities Management,External Utility Concern Case,Close,Not A City Provided Service / Jurisdiction,Riley Park,Phone,2022-10-10 15:44:43-07:00,2025-12-04,2022,10,Oct,Monday,1150.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Kitsilano,Web,2022-10-10 16:02:11-07:00,2022-10-17,2022,10,Oct,Monday,6.0,True
Eng - Parking Enforcement And Operations,Abandoned Or Uninsured Vehicle Case,Close,Service Provided,Victoria-Fraserview,Mobile App,2022-10-10 16:11:11-07:00,2022-10-11,2022,10,Oct,Monday,0.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,Mount Pleasant,Web,2022-10-10 16:14:00-07:00,2022-10-12,2022,10,Oct,Monday,1.0,True
Eng - Streets Operations,Zz Old - Urban Issues On City Property Case,Close,Unknown,Strathcona,Web,2022-10-10 16:43:47-07:00,2022-10-14,2022,10,Oct,Monday,3.0,True
Eng - Sanitation Services,Street Litter Can Case,Close,Service Provided,Downtown,Phone,2022-10-10 16:46:27-07:00,2022-10-13,2022,10,Oct,Monday,2.0,True
Eng - Traffic And Data Management,Traffic Sign - Modify Request Case,Close,Reviewed And No Action Planned,Fairview,Phone,2022-10-10 16:48:01-07:00,2022-10-17,2022,10,Oct,Monday,6.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,Renfrew-Collingwood,Web,2022-10-10 17:17:00-07:00,2022-10-18,2022,10,Oct,Monday,7.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Service Provided,,Web,2022-10-10 17:18:00-07:00,2022-10-12,2022,10,Oct,Monday,1.0,True
Eng - Sanitation Services,Dead Animal Pick Up Case,Close,Service Provided,Marpole,Phone,2022-10-10 17:29:00-07:00,2022-10-12,2022,10,Oct,Monday,1.0,True
Eng - Sanitation Services,Abandoned Non-Recyclables-Small Case,Close,Service Provided,Kerrisdale,Web,2022-10-10 17:33:33-07:00,2022-10-13,2022,10,Oct,Monday,2.0,True
Eng - Streets Operations,Zz Old - Urban Issues On City Property Case,Close,Unknown,Downtown,Phone,2022-10-10 17:42:18-07:00,2022-10-14,2022,10,Oct,Monday,3.0,True
Dbl - Property Use Inspections,Private Property Concern Case,Close,Insufficient Info,Sunset,Phone,2022-10-10 17:55:37-07:00,2022-10-12,2022,10,Oct,Monday,1.0,True
Eng - Streets Operations,Street Repair Case,Close,Issue Not Found Or Inaccessible,Kitsilano,Web,2022-10-10 18:05:42-07:00,2025-10-31,2022,10,Oct,Monday,1116.0,True
Eng - Sanitation Services,Street Cleaning And Debris Pick Up Case,Close,Issue Not Found Or Inaccessible,Mount Pleasant,Web,2022-10-14 16:45:02-07:00,2022-10-20,2022,10,Oct,Friday,5.0,True
Dbl - Services Centre,Building And Development Inquiry Case,Close,Service Provided,Kensington-Cedar Cottage,Web,2022-10-14 16:47:00-07:00,2022-10-25,2022,10,Oct,Friday,10.0,True
Eng - Sanitation Services,Dead Animal Pick Up Case,Close,Service Provided,Kensington-Cedar Cottage,Phone,2022-10-14 16:52:00-07:00,2022-10-17,2022,10,Oct,Friday,2.0,True
Dbl - Animal Services,Animal Concern Case,Close,Dispatched To Crew,Kitsilano,Phone,2022-10-14 16:54:08-07:00,2022-10-14,2022,10,Oct,Friday,-1.0,True
Eng - Parking Enforcement And Operations,Parking Enforcement Transfer Case,Close,Unknown,,Phone,2022-10-14 16:54:15-07:00,2022-10-14,2022,10,Oct,Friday,-1.0,True
Pr - Corporate Services,Park Board Commissioner Feedback Case,Close,Referred To Another Service Group,,Web,2022-10-14 16:54:00-07:00,2022-10-17,2022,10,Oct,Friday,2.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Dunbar-Southlands,Phone,2022-10-14 16:58:00-07:00,2022-10-20,2022,10,Oct,Friday,5.0,True
Eng - Sanitation Services,Abandoned Non-Recyclables-Small Case,Close,Service Provided,Downtown,Mobile App,2022-10-14 16:59:21-07:00,2022-10-18,2022,10,Oct,Friday,3.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Riley Park,Phone,2022-10-14 17:00:00-07:00,2022-10-17,2022,10,Oct,Friday,2.0,True
Pr - Urban Forestry,City And Park Trees Maintenance Case,Close,Further Action Has Been Planned,Renfrew-Collingwood,Phone,2022-10-14 17:02:00-07:00,2022-10-24,2022,10,Oct,Friday,9.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,South Cambie,Web,2022-10-14 17:04:48-07:00,2022-10-17,2022,10,Oct,Friday,2.0,True
Dbl - Property Use Inspections,Private Property Concern Case,Close,Insufficient Info,Downtown,Phone,2022-10-14 17:22:24-07:00,2022-10-17,2022,10,Oct,Friday,2.0,True
311 Contact Centre,Emergency Referral Tracking Report Case,Close,Closed Automatically And Sent To Service Group,Mount Pleasant,Phone,2022-10-14 17:24:47-07:00,2022-10-14,2022,10,Oct,Friday,-1.0,True
Eng - Sanitation Services,Missed Garbage Bin Pickup Case,Close,Reviewed And No Action Planned,Hastings-Sunrise,Web,2022-10-14 17:25:20-07:00,2022-10-20,2022,10,Oct,Friday,5.0,True
Pr - Park Rangers,Urban Issues In Parks Case,Close,Service Provided,West End,Mobile App,2022-10-14 17:27:55-07:00,2022-10-15,2022,10,Oct,Friday,0.0,True
Eng - Solid Waste Programs,Illegal Dumping Case,Close,Reviewed And No Action Planned,Downtown,Mobile App,2022-10-14 17:35:49-07:00,2022-10-17,2022,10,Oct,Friday,2.0,True
Pr - Planning And Development,Park Improvement Case,Close,Service Provided,,Phone,2022-10-14 17:41:00-07:00,2025-12-18,2022,10,Oct,Friday,1160.0,True
Eng - Sanitation Services,Missed Garbage Bin Pickup Case,Close,Service Provided,Hastings-Sunrise,Web,2022-10-14 17:51:10-07:00,2022-10-25,2022,10,Oct,Friday,10.0,True
Dbl - Animal Services,Lost Pets Case,Close,Service Provided,Renfrew-Collingwood,Phone,2022-10-14 17:52:43-07:00,2022-10-15,2022,10,Oct,Friday,0.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Kitsilano,Web,2022-10-14 18:00:38-07:00,2022-10-17,2022,10,Oct,Friday,2.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Riley Park,Web,2022-10-14 18:07:48-07:00,2022-10-17,2022,10,Oct,Friday,2.0,True
Eng - Sanitation Services,Missed Garbage Bin Pickup Case,Close,Service Provided,Shaughnessy,Web,2022-10-14 18:12:47-07:00,2022-10-24,2022,10,Oct,Friday,9.0,True
Dbl - Animal Services,Animal Concern Case,Close,Dispatched To Crew,Kitsilano,Web,2022-10-14 18:53:10-07:00,2022-10-15,2022,10,Oct,Friday,0.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Fairview,Web,2022-10-14 19:03:00-07:00,2022-10-17,2022,10,Oct,Friday,2.0,True
Pds - Landscape,Zz Old - Private Property Tree Removal Case,Close,Service Provided,Kerrisdale,Phone,2022-10-14 19:07:22-07:00,2022-10-20,2022,10,Oct,Friday,5.0,True
Eng - Development And Major Projects Branch,Engineering Client Services Request Case,Close,Service Provided,Riley Park,Phone,2022-10-14 19:14:00-07:00,2022-10-31,2022,10,Oct,Friday,16.0,True
Pr - Urban Forestry,City And Park Trees Maintenance Case,Close,Further Action Has Been Planned,Kensington-Cedar Cottage,Web,2022-10-14 19:17:00-07:00,2022-10-24,2022,10,Oct,Friday,9.0,True
Eng - Traffic And Electrical Operations And Design,Street Light Out Case,Close,Further Action Has Been Planned,Downtown,Mobile App,2022-10-14 20:15:58-07:00,2022-12-29,2022,10,Oct,Friday,75.0,True
Eng - Parking Enforcement And Operations,Meter Out Of Order Internal Audit Case,Close,Closed Automatically And Sent To Service Group,Downtown,Web,2022-10-14 21:23:00-07:00,2022-10-14,2022,10,Oct,Friday,-1.0,True
Pr - Park Operations,Park Facility Maintenance Request,Close,Referred To Another Service Group,,Web,2022-10-14 21:52:00-07:00,2022-10-15,2022,10,Oct,Friday,0.0,True
Pr - Corporate Services,Parks Feedback Case,Open,,,Web,2022-10-14 23:22:00-07:00,,2022,10,Oct,Friday,,False
311 Contact Centre,General Feedback Case,Close,Referred To Another Service Group,,Web,2022-10-14 23:30:08-07:00,2022-10-15,2022,10,Oct,Friday,0.0,True
Eng - Street Use Management,Street And Sidewalk Use Request Case,Close,Reviewed And No Action Planned,Downtown,Web,2022-10-15 00:08:00-07:00,2022-10-17,2022,10,Oct,Saturday,1.0,True
Cmo - Business And Election Services,Mayor And Council Feedback Case,Close,Reviewed And No Action Planned,,Web,2022-10-15 02:25:47-07:00,2022-10-17,2022,10,Oct,Saturday,1.0,True
Dbl - Licence Office,Business Licence Request Case,Close,Service Provided,Riley Park,Web,2022-10-15 02:45:00-07:00,2022-10-17,2022,10,Oct,Saturday,1.0,True
Pr - Park Rangers,Urban Issues In Parks Case,Close,Service Provided,Marpole,Mobile App,2022-10-15 07:29:48-07:00,2022-10-16,2022,10,Oct,Saturday,0.0,True
311 Contact Centre,Website Feedback Case,Close,Reviewed And No Action Planned,,Web,2022-10-15 07:43:38-07:00,2022-12-14,2022,10,Oct,Saturday,59.0,True
Eng - Sanitation Services,Street Cleaning And Debris Pick Up Case,Close,Service Provided,Downtown,Phone,2022-10-15 07:45:12-07:00,2022-10-20,2022,10,Oct,Saturday,4.0,True
Eng - Waterworks Design,Water Conservation Violation Case,Close,Service Provided,Marpole,Phone,2022-10-15 07:50:36-07:00,2022-10-17,2022,10,Oct,Saturday,1.0,True
